"Rank","Player","Team","Bye","POS","ESPN","RTSports","MFL","Fantrax","FFC","Sleeper","AVG"
"1","Antonio Brown","WR1","","","1","1","1","","1.0"
"406","Bishop Sankey","RB123","","","","","","","355.0"
"407","Terrell Watson","RB124","","","","","","","356.0"
"408","Fitzgerald Toussaint","RB125","","","","","","","357.0"
"409","Brandon Bolden","NE","9","RB126","","","","","","","358.0"
"410","Shaun Hill","QB42","","","","","","","360.0"
"411","Troymaine Pope","RB127","","","","","","","363.0"
"412","Lorenzo Taliaferro","RB128","","","","","","","364.0"
"413","Travaris Cadet","RB129","","","","","","","366.0"
"414","Donald Brown","RB130","","","","","","","367.0"
"415","Isaiah Pead","RB131","","","","","","","369.0"
"416","Fred Jackson","RB132","","","","","","","370.0"
"417","Dwayne Bowe","WR140","","","","","","","372.0"
"418","Mike James","RB133","","","","","","","373.0"
"419","Taiwan Jones","BUF","10","RB134","","","","","","","374.0"
"420","Ryan Grant","WR141","","","","","","","375.0"
"421","Adam Thielen","MIN","6","WR142","","","","","","","377.0"
"422","Chris Polk","RB135","","","","","","","378.0"
"423","Jamize Olawale","DAL","7","RB136","","","","","","","379.0"
"424","Terron Ward","RB137","","","","","","","380.0"
"425","Darius Jackson","RB138","","","","","","","381.0"
"426","Chris Moore","HOU","9","WR143","","","","","","","382.0"
"427","Stepfan Taylor","RB139","","","","","","","383.0"
"428","Dan Herron","RB140","","","","","","","384.0"
"429","Brice Butler","WR144","","","","","","","385.0"
"430","Robby Anderson","CAR","7","WR145","","","","","","","386.0"
"431","Justin Hunter","WR146","","","","","","","387.0"
"432","Marquise Goodwin","CHI","9","WR147","","","","","","","390.0"
"433","Ricardo Louis","WR148","","","","","","","392.0"
"434","John Crockett","RB141","","","","","","","393.0"
"435","Jeff Heuerman","TE43","","","","","","","394.0"
"436","Bennie Fowler III","SF","8","WR149","","","","","","","395.0"
"437","Roger Lewis","WR150","","","","","","","397.0"
"438","Lance Kendricks","TE44","","","","","","","398.0"
"439","Daniel Braverman","WR151","","","","","","","399.0"
"440","Brian Hartline","WR152","","","","","","","401.0"
"441","Josh Hill","TE45","","","","","","","402.0"
"442","Geno Smith","SEA","5","QB43","","","","","","","403.0"
"443","Bobby Rainey","RB142","","","","","","","405.0"
"444","Vernon Davis","TE46","","","","","","","406.0"
