"Rank","Player","Team","Bye","POS","ESPN","RTSports","MFL","Fantrax","FFC","Sleeper","AVG"
"269","Alex Henery","K18","","308","281","","","","266.3"
"270","Miami Dolphins","DST","6","DST23","","322","234","","","","267.0"
"271","Indianapolis Colts","DST","8","DST24","","309","251","","","","267.3"
"272","Adam Vinatieri","K19","","330","253","","","","268.0"
"273","Jason Avant","WR85","","247","287","","","","268.3"
"274","Travis Kelce","KC","10","TE35","","286","252","","","","268.3"
"275","Geno Smith","SEA","12","QB30","","294","239","","","","272.3"
"276","Kenjon Barner","TB","5","RB83","","244","301","","","","272.3"
"277","Jacob Tamme","TE36","","264","277","","","","272.7"
"278","Brandon Bolden","NE","10","RB84","","163","","","","","242.5"
"279","Ladarius Green","TE37","","201","317","","","","274.7"
"280","Justin Hunter","WR86","","293","241","","","","274.7"
"281","New York Jets","DST","10","DST25","","312","264","","","","275.3"
"282","Kansas City Chiefs","DST","10","DST26","","310","260","","","","276.7"
"283","Andrew Hawkins","WR87","","182","321","","","","277.0"
"284","Tennessee Titans","DST","8","DST27","","315","273","","","","277.3"
"285","Marlon Moore","WR88","","180","","","","","247.5"
"286","Jon Baldwin","WR89","","263","280","","","","278.7"
"287","Austin Collie","WR90","","230","268","","","","288.7"
"288","Buffalo Bills","DST","12","DST28","","311","257","","","","281.3"
"289","Stedman Bailey","WR91","","204","303","","","","282.0"
"290","Nick Toon","WR92","","262","299","","","","282.3"
"291","Leonard Hankerson","WR93","","265","292","","","","283.7"
"292","Davone Bess","WR94","","253","312","","","","284.0"
"293","Mike Nugent","K20","","331","286","","","","284.7"
"294","Delanie Walker","TE38","","296","295","","","","285.3"
"295","Brandon Stokley","WR95","","192","","","","","260.5"
"296","Brice Butler","WR96","","184","","","","","274.5"
"297","LaRod Stephens-Howling","RB85","","250","","","","","261.5"
"298","Justin Forsett","RB86","","276","306","","","","289.0"
"299","New Orleans Saints","DST","7","DST29","","333","261","","","","289.3"
"300","Matt Flynn","QB31","","260","272","","","","297.3"
"301","Josh Boyce","WR97","","246","313","","","","291.0"
"302","Chris Polk","RB87","","255","","","","","268.5"
"303","Brandon Jackson","RB88","","199","","","","","270.0"
"304","Mike Goodson","RB89","","","265","","","","270.0"
"305","Rob Bironas","K21","","325","297","","","","292.7"
"306","Philadelphia Eagles","DST","12","DST30","","314","285","","","","292.7"
"307","Shaun Suisham","K22","","328","296","","","","293.0"
"308","Caleb Sturgis","K23","","329","289","","","","295.7"
"309","Da'Rel Scott","RB90","","224","","","","","275.0"
"310","Anthony Fasano","TE39","","285","","","","","275.5"
"311","Austin Pettis","WR98","","215","","","","","289.0"
"312","Ryan Succop","TB","5","K24","","334","294","","","","297.0"
"313","Lawrence Tynes","K25","","317","270","","","","298.0"
"314","Brandon Gibson","WR99","","291","318","","","","300.3"
"315","Brian Leonard","RB91","","227","","","","","292.5"
"316","Donald Brown","RB92","","269","","","","","283.5"
"317","Terrance Williams","WR100","","319","275","","","","301.7"
"318","Mike James","RB93","","279","316","","","","301.7"
"319","Evan Royster","RB94","","240","","","","","353.0"
"320","Dallas Clark","TE40","","277","","","","","289.5"
"321","Graham Gano","NYG","9","K26","","297","","","","","290.0"
"322","Jason Hanson","K27","","288","","","","","292.0"
"323","Peyton Hillis","RB95","","282","","","","","292.5"
"324","Shayne Graham","K28","","337","307","","","","308.0"
"325","Jarius Wright","WR101","","272","314","","","","308.7"
"326","Jay Feely","K29","","332","308","","","","309.3"
"327","Joel Dreessen","TE41","","259","","","","","295.5"
"328","Latavius Murray","BAL","8","RB96","","","256","","","","256.0"
"329","Jordan Todman","RB97","","300","","","","","299.5"
"330","A.J. Jenkins","WR102","","","263","","","","303.0"
"331","Phillip Tanner","RB98","","266","","","","","311.5"
"332","Kevin Ogletree","WR103","","267","","","","","364.0"
"333","Kirk Cousins","MIN","5","QB32","","","305","","","","305.0"
"334","Dustin Hopkins","LAC","","K30","","273","","","","","311.0"
"335","James Casey","TE42","","301","310","","","","325.7"
"336","Blaine Gabbert","TB","5","QB33","","","309","","","","306.5"
"337","Connor Barth","K31","","316","298","","","","323.3"
"338","Joe Morgan","WR104","","","276","","","","351.5"
"339","Nick Foles","CHI","8","QB34","","","302","","","","309.0"
"340","Ronnie Brown","RB99","","281","","","","","309.5"
"341","Jermaine Kearse","WR105","","284","","","","","314.5"
"342","Stephen Williams","WR106","","287","","","","","287.0"
"343","Andre Ellington","RB100","","","288","","","","329.5"
"344","James Starks","RB101","","","","","","","291.0"
"345","Robert Meachem","WR107","","292","","","","","292.0"
