"Rank","Player","Team","Position","Points","Games","Avg"
"593","Robert Kelley","WAS","RB","0.8","2","0.4"
"594","Geno Smith","LAC","QB","0.7","3","0.2"
"595","Jeremy McNichols","Multi","RB","0.4","1","0.4"
"596","Robert Turbin","IND","RB","0.3","2","0.2"
"597","Mark Sanchez","WAS","QB","0.3","2","0.2"
"598","AJ McCarron","OAK","QB","0.1","2","0.1"
"599","Nate Sudfeld","PHI","QB","0.0","1","0.0"
"599","Beau Brinkley","TEN","TE","0.0","6","0.0"
"599","Darrell Daniels","Multi","TE","0.0","5","0.0"
"599","Tanner McEvoy","Multi","WR","0.0","1","0.0"
"599","Da'Mari Scott","Multi","WR","0.0","2","0.0"
"599","Matt Flanagan","WAS","TE","0.0","2","0.0"
"599","Stacy Coley","Multi","WR","0.0","2","0.0"
"599","Tra Carson","Multi","RB","0.0","2","0.0"
"599","Gehrig Dieter","KC","WR","0.0","2","0.0"
"599","Darius Jackson","Multi","RB","0.0","1","0.0"
"599","Trey Edmunds","PIT","RB","0.0","1","0.0"
"599","Ryan Hewitt","IND","RB","0.0","4","0.0"
"599","Johnny Mundt","LAR","TE","0.0","1","0.0"
"599","Darvin Kidsy","WAS","WR","0.0","1","0.0"
"599","Garrett Dickerson","NYG","TE","0.0","1","0.0"
"599","Temarrick Hemingway","Multi","TE","0.0","1","0.0"
"599","De'Angelo Henderson Sr.","NYJ","RB","0.0","1","0.0"
"599","Ben Koyack","JAC","TE","0.0","1","0.0"
"599","Jerome Cunningham","Multi","TE","0.0","1","0.0"
"599","Janarion Grant","BAL","WR","0.0","2","0.0"
"599","Donnie Ernsberger","TB","RB","0.0","1","0.0"
"599","Boston Scott","Multi","RB","0.0","1","0.0"
"599","Lavon Coleman","Multi","RB","0.0","1","0.0"
"599","Deante Burton","Multi","WR","0.0","2","0.0"
"599","Isaiah Ford","MIA","WR","0.0","1","0.0"
"599","Senorise Perry","MIA","RB","0.0","11","0.0"
"599","Daniel Brown","CHI","TE","0.0","2","0.0"
"599","River Cracraft","DEN","WR","0.0","7","0.0"
"599","Mason Schreck","CIN","TE","0.0","1","0.0"
"599","Jaydon Mickens","JAC","WR","0.0","6","0.0"
"599","Javon Wims","CHI","WR","0.0","1","0.0"
"599","Brandon Tate","NO","WR","0.0","1","0.0"
"599","Quadree Henderson","NYG","WR","0.0","5","0.0"
"599","Kyle Sloter","MIN","QB","0.0","1","0.0"
"599","Dare Ogunbowale","TB","RB","0.0","1","0.0"
"599","Mike Wallace","PHI","WR","0.0","1","0.0"
"599","Taiwan Jones","BUF","RB","0.0","6","0.0"
"599","Pharoh Cooper","Multi","WR","0.0","6","0.0"
"599","Trevor Davis","GB","WR","0.0","2","0.0"
"599","Lance Lenoir Jr.","DAL","WR","0.0","2","0.0"
"599","Matthew Slater","NE","WR","0.0","8","0.0"
"599","Gabe Holmes","ARI","TE","0.0","1","0.0"
"599","Geremy Davis","LAC","WR","0.0","5","0.0"
"599","Cole Wick","Multi","TE","0.0","2","0.0"
"599","Johnny Holton","OAK","WR","0.0","1","0.0"
"599","Buddy Howell","HOU","RB","0.0","8","0.0"
"599","Freddie Martino","TB","WR","0.0","1","0.0"
"599","Matt Dayes","SF","RB","0.0","3","0.0"
"599","J'Mon Moore","GB","WR","0.0","6","0.0"
"648","Chad Kelly","DEN","QB","-0.1","1","-0.1"
"648","Sean Mannion","LAR","QB","-0.1","2","-0.1"
"648","Brandon Weeden","HOU","QB","-0.1","1","-0.1"
"651","Brian Hoyer","NE","QB","-0.2","4","-0.1"
"652","Jehu Chesson","WAS","WR","-0.4","6","-0.1"
"653","Jacoby Brissett","IND","QB","-0.6","4","-0.2"
"654","Teddy Bridgewater","NO","QB","-0.7","3","-0.2"
"655","Rod Streater","CLE","WR","-1.1","1","-1.1"
"656","DeShone Kizer","GB","QB","-1.9","2","-1.0"
"657","Riley McCarron","NE","WR","-2.0","1","-2.0"
"657","Kaelin Clay","NYG","WR","-2.0","2","-1.0"
"657","JoJo Natson","LAR","WR","-2.0","12","-0.2"
"657","J.J. Jones","Multi","WR","-2.0","3","-0.7"
"661","Kyle Lauletta","NYG","QB","-2.2","1","-2.2"
""
""
